Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET - all data,28566,15,5,28,69,165,0,339,11.293%,80.15174,83.42,8.96
POST - add new user,28536,12,4,25,68,169,0,338,11.259%,80.06734,39.84,16.17
PUT - update new user ,28518,12,4,26,68,172,0,338,11.235%,80.01594,40.05,18.14
DELETE - newly created user,28494,12,4,25,67,168,0,331,11.181%,79.94770,38.54,14.98
POST - add new user (1),28471,12,4,24,66,164,0,356,11.131%,79.88250,39.53,16.15
DELETE - newly created user (1),28445,12,4,24,66,168,0,329,11.092%,79.80843,38.32,14.97
TOTAL,171030,13,4,26,67,168,0,356,11.199%,479.85119,279.69,89.36
